iter	Passed	Remaining
455	947	1130
456	948	1127
457	949	1124
458	951	1120
459	952	1117
460	953	1114
461	954	1111
462	955	1108
463	958	1107
464	960	1104
465	961	1101
466	962	1098
467	963	1095
468	964	1092
469	966	1089
470	967	1086
471	968	1083
472	970	1080
473	971	1077
474	973	1075
475	974	1073
476	976	1070
477	977	1067
478	979	1065
479	980	1062
480	982	1060
481	984	1057
482	985	1054
483	989	1054
484	990	1052
485	992	1049
486	994	1047
487	995	1044
488	996	1041
489	998	1039
490	1000	1036
491	1004	1037
492	1006	1034
493	1008	1032
494	1010	1030
495	1011	1028
496	1014	1026
497	1016	1024
498	1020	1024
499	1021	1021
500	1022	1018
501	1024	1016
502	1025	1013
503	1027	1010
504	1028	1008
505	1029	1005
506	1031	1003
507	1033	1001
508	1035	998
509	1036	996
510	1038	993
511	1039	991
512	1041	988
513	1043	986
514	1044	983
515	1047	982
516	1049	980
517	1050	977
518	1054	977
519	1058	976
520	1059	974
521	1063	973
522	1065	971
523	1067	969
524	1069	967
525	1070	964
526	1072	962
527	1073	959
528	1078	960
529	1080	958
530	1081	955
531	1083	953
532	1085	950
533	1086	948
534	1088	945
535	1089	943
536	1091	941
537	1094	939
538	1095	937
539	1097	934
540	1099	932
541	1100	930
542	1102	927
543	1104	925
544	1106	923
545	1109	922
546	1110	919
547	1113	918
548	1116	917
549	1119	916
550	1124	916
551	1126	914
552	1128	912
553	1129	909
554	1131	906
555	1132	904
556	1133	901
557	1135	899
558	1138	898
559	1140	895
560	1141	893
561	1142	890
562	1144	888
563	1157	895
564	1159	892
565	1160	889
566	1162	887
567	1163	885
568	1167	883
569	1168	881
570	1170	879
571	1171	876
572	1173	874
573	1175	872
574	1176	869
575	1177	867
576	1182	866
577	1183	864
578	1185	861
579	1187	859
580	1188	856
581	1189	854
582	1191	852
583	1192	849
584	1194	847
585	1197	845
586	1198	843
587	1200	840
588	1201	838
589	1202	835
590	1204	833
591	1205	830
592	1206	828
593	1207	825
594	1211	824
595	1212	821
596	1213	819
597	1215	816
598	1216	814
599	1217	811
600	1219	809
601	1220	807
602	1226	807
603	1227	804
604	1229	802
605	1230	799
606	1231	797
607	1232	794
608	1234	792
609	1235	790
610	1237	787
611	1238	785
612	1242	784
613	1276	802
614	1278	800
615	1280	798
616	1282	795
617	1283	793
618	1285	791
619	1290	791
620	1292	788
621	1294	786
622	1296	784
623	1298	782
624	1300	780
625	1302	777
626	1306	776
627	1307	774
628	1310	772
629	1311	770
630	1313	768
631	1315	765
632	1317	763
633	1321	762
634	1323	760
635	1325	758
636	1327	756
637	1328	754
638	1330	751
639	1333	749
640	1338	749
641	1340	747
642	1341	745
643	1343	742
644	1347	741
645	1352	741
646	1354	738
647	1356	736
648	1358	734
649	1360	732
650	1362	730
651	1367	729
652	1369	727
653	1371	725
654	1373	723
655	1375	721
656	1376	718
657	1380	717
658	1382	715
659	1384	712
660	1385	710
661	1387	708
662	1389	706
663	1390	703
664	1392	701
665	1396	700
666	1398	698
667	1400	695
668	1401	693
669	1403	691
670	1405	689
671	1407	686
672	1412	686
673	1413	683
674	1415	681
675	1416	679
676	1418	676
677	1419	674
678	1420	671
679	1422	669
680	1425	667
681	1427	665
682	1429	663
683	1430	660
684	1431	658
685	1432	655
686	1433	653
687	1435	650
688	1436	648
689	1437	645
690	1439	643
691	1440	641
692	1442	638
693	1443	636
694	1444	633
695	1445	631
696	1446	628
697	1448	626
698	1449	624
699	1450	621
700	1452	619
701	1455	617
702	1456	615
703	1457	612
704	1459	610
705	1460	608
706	1462	605
707	1463	603
708	1464	601
709	1466	598
710	1467	596
711	1469	594
712	1471	592
713	1472	589
714	1473	587
715	1474	584
716	1475	582
717	1477	580
718	1478	577
719	1479	575
720	1480	573
721	1482	570
722	1484	568
723	1485	566
724	1487	564
725	1488	561
726	1489	559
727	1490	556
728	1491	554
729	1493	552
730	1494	549
731	1495	547
732	1496	545
733	1497	542
734	1500	540
735	1501	538
736	1502	536
